Method,Name,Error,Occurrences
PATCH,/support/v1/payment-requests/{paymentRequestID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/payment-requests/2e9d256a-cfba-4361-979a-c62d39df4edb/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2876ef4e20>: Failed to establish a new connection: [Errno 111] Connection refused'))",7
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/55440305-385f-4260-a23b-34425e057d1e/addresses/c4a3a01d-2494-4ab0-8dca-dc073cc98e7d (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2889a5a970>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
GET,/support/v1/move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/0a34d57a-b060-4f1b-8fa9-fc4fff0f7303 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f28a55f2d60>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/e86cac48-2017-4dff-b90b-2f7ed15a88bd/agents/054aa324-4e7a-4d16-bf41-1440c29622dc (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289e839a30>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/e41e1235-d5c4-4b21-aedb-962c6c0c5364/agents/807ddb10-d64a-4426-8e01-685e11ba5b17 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289d48b040>: Failed to establish a new connection: [Errno 111] Connection refused'))",8
PATCH,/support/v1/mto-service-items/{mtoServiceItemID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-service-items/9455cc04-d377-4440-be66-a22cd7f6acce/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2877d054c0>: Failed to establish a new connection: [Errno 111] Connection refused'))",13
GET,/support/v1move-task-orders/{moveTaskOrderID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/move-task-orders/1c22a60f-0ce3-460f-829b-f97b1162f8c2 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f288bdd32b0>: Failed to establish a new connection: [Errno 111] Connection refused'))",61
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/5e21e954-c281-4b33-9814-a7d113868fb0/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2888ec6f10>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/370bfa47-9ecb-4bf2-9dd8-172a649d738c/agents/bc1312fc-9e83-4d02-bf2d-b45567e673e0 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f2889af3580>: Failed to establish a new connection: [Errno 111] Connection refused'))",8
PATCH,/support/v1/payment-requests/{paymentRequestID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/payment-requests/bbc074d4-d5df-4802-89b8-be93efe9c043/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f289d812460>: Failed to establish a new connection: [Errno 111] Connection refused'))",227
