Method,Name,Error,Occurrences
POST,/prime/v1/payment-requests,500 Server Error: Internal Server Error for url: https://api.exp.move.mil/prime/v1/payment-requests,755
PUT,/prime/v1/mto-shipments/{mtoShipmentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/e24b8be8-9c0a-4f1e-8da3-9e3fa52b55c4 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b065a7430>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
POST,/prime/v1/payment-requests/{paymentRequestID}/uploads,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/payment-requests/6df6cbf5-db5c-45c0-8f25-069bd3d37681/uploads (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b071c1d90>: Failed to establish a new connection: [Errno 111] Connection refused'))",25
PATCH,/support/v1/mto-shipments/{mtoShipmentID}/status,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /support/v1/mto-shipments/1192e165-3e71-4fad-85ab-26dc2801ea26/status (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af0711400>: Failed to establish a new connection: [Errno 111] Connection refused'))",12
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/7b27f791-3805-4c74-9dd7-c27413355178/agents/de100ffd-77b9-4c50-9e85-27c861de19da (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b075e94f0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",1
PATCH,/prime/v1/move-task-orders/{moveTaskOrderID}/post-counseling-info,"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/move-task-orders/a2764fec-48d1-4eba-8018-fc5445b11256/post-counseling-info (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3af17374c0>: Failed to establish a new connection: [Errno 110] Connection timed out'))",4
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/agents/{agentID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/277b70a7-4454-4c17-876a-5c949090875d/agents/65b1178c-5ede-4ef2-a7be-9c414c6045a6 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b06be2d00>: Failed to establish a new connection: [Errno 111] Connection refused'))",2
PATCH,/prime/v1/mto-service-items/{mtoServiceItemID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-service-items/46937dd5-c3f2-4f76-ad26-7ef8bc393eda (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b078be670>: Failed to establish a new connection: [Errno 111] Connection refused'))",6
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/7b27f791-3805-4c74-9dd7-c27413355178/addresses/22887e0f-a143-46ba-8530-c5e6ddc1d72d (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b0643b0a0>: Failed to establish a new connection: [Errno 111] Connection refused'))",1
PUT,/prime/v1/mto-shipments/{mtoShipmentID}/addresses/{addressID},"HTTPSConnectionPool(host='api.exp.move.mil', port=443): Max retries exceeded with url: /prime/v1/mto-shipments/14829702-d2cd-4d1d-83e5-1e48f7301b57/addresses/eac50a81-6286-4b7c-a4c5-7778959ce304 (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f3b07511910>: Failed to establish a new connection: [Errno 110] Connection timed out'))",2
